"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=%20Anura"
"Access Time","Fri 2017-02-03 06:26:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name"," Anura"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0678"
"Records Found","1413"
"Records Returned","1413"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"289951","occ","","","20370","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
"289952","occ","","","20370","Bufo sp.","genus","37465","","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"289953","occ","","","20370","Bufo cognatus","species","37465","species not entered","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"289956","occ","","","20355","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
"289957","occ","","","20355","Bufo sp.","genus","37465","","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"289958","occ","","","20355","Bufo douglassi","species","37465","species not entered","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"290087","occ","","","27632","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
"290088","occ","","","27632","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"290107","occ","","","27637","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"290110","occ","","","27639","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
"290115","occ","","","20359","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
"290116","occ","","","20359","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"290117","occ","","","20359","Rana catesbeiana","species","110841","","Rana catesbeiana","species","110841","Middle Pleistocene","","0.781","0.126","2939"
"290118","occ","","","20359","Bufo sp.","genus","37465","","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"290119","occ","","","20359","Bufo cognatus","species","37465","species not entered","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"290125","occ","","","20360","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
"290126","occ","","","20360","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"290127","occ","","","20360","Rana catesbeiana","species","110841","","Rana catesbeiana","species","110841","Middle Pleistocene","","0.781","0.126","2939"
"290128","occ","","","20360","Bufo sp.","genus","37465","","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"290129","occ","","","20360","Bufo cognatus","species","37465","species not entered","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","2939"
"290130","occ","","","20360","Bufo woodhousei","species","110871","","Bufo woodhousei","species","110871","Middle Pleistocene","","0.781","0.126","2939"
