"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=Serpentes"
"Access Time","Fri 2017-02-03 06:22:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Serpentes"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.128"
"Records Found","2575"
"Records Returned","2575"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"228357","occ","","","22344","Python sp.","genus","38114","","Python","genus","38114","Miocene","Pliocene","23.03","2.588","5454"
"228675","occ","","","22410","Python cf. sebae","species","64924","","Python sebae","species","64924","Miocene","Pliocene","23.03","2.588","5434"
"228800","occ","","","22443","Colubridae indet.","family","38127","","Colubridae","family","38127","Miocene","","23.03","5.333","5434"
"228861","occ","","","22462","Python sebae","species","64924","","Python sebae","species","64924","Miocene","Pliocene","23.03","2.588","5434"
"229231","occ","","","22628","Bitis n. sp. olduvaiensis","species","38157","species not entered","Bitis","genus","38157","Early Pleistocene","","2.588","0.781","5653"
"232490","occ","","","19610","Pituophis melanoleucus","species","155174","","Pituophis melanoleucus","species","155173","Late Hemphillian","","10.3","4.9","6732"
"232491","occ","","","19610","Lampropeltis getula","species","178473","recombined as","Lampropeltis getulus","species","110827","Late Hemphillian","","10.3","4.9","6732"
"232492","occ","","","19610","Heterodon cf. nasicus","species","155180","","Heterodon nasicus","species","155180","Late Hemphillian","","10.3","4.9","6732"
"232493","occ","","","19610","Thamnophis sp.","genus","53084","","Thamnophis","genus","53084","Late Hemphillian","","10.3","4.9","6732"
"247311","occ","","","24181","Python aff. sebae","species","64924","","Python sebae","species","64924","Late Miocene","Pliocene","11.608","2.588","6838"
"256294","occ","","","20604","Coluber constrictor","species","53099","","Coluber constrictor","species","53099","Late Pleistocene","","0.126","0.0117","1962"
"256295","occ","","","20604","Pituophis melanoleucas","species","67554","species not entered","Pituophis","genus","67554","Late Pleistocene","","0.126","0.0117","1962"
"256296","occ","","","20604","Nerodia fasciata","species","38141","species not entered","Nerodia","genus","38141","Late Pleistocene","","0.126","0.0117","1962"
"256297","occ","","","20604","Regina sp.","genus","67536","","Regina","genus","67536","Late Pleistocene","","0.126","0.0117","1962"
"256298","occ","","","20604","Thamnophis sirtalis","species","53083","","Thamnophis sirtalis","species","53083","Late Pleistocene","","0.126","0.0117","1962"
"256299","occ","","","20604","Heterodon sp.","genus","38135","","Heterodon","genus","38135","Late Pleistocene","","0.126","0.0117","1962"
"256300","occ","","","20604","Agkistrodon piscivorus","species","53086","species not entered","Agkistrodon","genus","53086","Late Pleistocene","","0.126","0.0117","1962"
"256301","occ","","","20604","Crotalus sp.","genus","38159","","Crotalus","genus","38159","Late Pleistocene","","0.126","0.0117","1962"
"256302","occ","","","20604","Serpentes indet.","unranked clade","38069","","Serpentes","unranked clade","38069","Late Pleistocene","","0.126","0.0117","1962"
"256410","occ","","","20613","Serpentes indet.","unranked clade","38069","","Serpentes","unranked clade","38069","Late Pleistocene","","0.126","0.0117","1962"
"256449","occ","","","20606","Serpentes indet.","unranked clade","38069","","Serpentes","unranked clade","38069","Late Pleistocene","","0.126","0.0117","1962"
"269902","occ","","","15671","Boidae indet.","family","38086","","Boidae","family","38086","Wasatchian","","55.8","50.3","2671"
"270969","occ","","","17892","Serpentes indet.","unranked clade","38069","","Serpentes","unranked clade","38069","Hemingfordian","","20.43","15.97","2428"
"277274","occ","","","26548","Serpentes indet.","unranked clade","38069","","Serpentes","unranked clade","38069","Irvingtonian","","1.8","0.3","7291"
"279808","occ","","","26723","Python sp.","genus","38114","","Python","genus","38114","Orleanian","Middle Miocene","20","11.608","7375"
"279809","occ","","","26723","Eryx sp.","genus","53235","","Eryx","genus","53235","Orleanian","Middle Miocene","20","11.608","7375"
"279810","occ","","","26723","Boidae informal B","family","38086","obsolete variant of","Boidae","family","38086","Orleanian","Middle Miocene","20","11.608","7375"
"279811","occ","","","26723","Boidae informal C","family","38086","obsolete variant of","Boidae","family","38086","Orleanian","Middle Miocene","20","11.608","7375"
"279812","occ","","","26723","Texasophis sp.","genus","38152","","Texasophis","genus","38152","Orleanian","Middle Miocene","20","11.608","7375"
"279813","occ","27729","","26723","Neonatrix aff. europaea","species","250517","","Neonatrix europaea","species","250517","Orleanian","Middle Miocene","20","11.608","7375"
"279814","occ","","","26723","Natrix aff. sansaniensis","species","38138","species not entered","Natrix","genus","38138","Orleanian","Middle Miocene","20","11.608","7375"
"279815","occ","","","26723","Natricinae informal A","subfamily","53081","obsolete variant of","Natricinae","subfamily","53081","Orleanian","Middle Miocene","20","11.608","7375"
"279816","occ","","","26723","Natricinae informal B","subfamily","53081","obsolete variant of","Natricinae","subfamily","53081","Orleanian","Middle Miocene","20","11.608","7375"
"279817","occ","","","26723","Natricinae informal C","subfamily","53081","obsolete variant of","Natricinae","subfamily","53081","Orleanian","Middle Miocene","20","11.608","7375"
"279818","occ","","","26723","Natricinae informal D","subfamily","53081","obsolete variant of","Natricinae","subfamily","53081","Orleanian","Middle Miocene","20","11.608","7375"
