Species	Status	min_age	max_age
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	55.8	58.7
Anura	extinct	72.1	83.6
Anura	extinct	70.6	83.5
Anura	extinct	72.1	83.6
Anura	extinct	70.6	83.5
Scotiophryne_pustulosa	extinct	66	70.6
Palaeobatrachus_occidentalis	extinct	66	70.6
Neobatrachia	extinct	66	70.6
Eopelobates	extinct	66	72.1
Discoglossidae	extinct	66	72.1
Scotiophryne	extinct	66	70.6
Anura	extinct	66	70.6
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	72.1	83.6
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Latonia_seyfriedi	extinct	13.65	15.97
Pelobates	extinct	13.65	15.97
Eopelobates	extinct	33.9	38
Eopelobates	extinct	33.9	38
Enigmatosaurus	extinct	33.9	38
Ranidae	extinct	33.9	38
Anura	extinct	33.9	38
Anura	extinct	38	41.3
Eopelobates	extinct	33.9	38
Pelodytes	extinct	33.9	38
Enigmatosaurus	extinct	33.9	38
Ranidae	extinct	33.9	38
Enigmatosaurus	extinct	33.9	38
Ranidae	extinct	33.9	38
Eopelobates	extinct	33.9	37.2
Enigmatosaurus	extinct	33.9	37.2
Ranidae	extinct	33.9	37.2
Anura	extinct	33.9	37.2
Anura	extinct	15.97	23.03
Anura	extinct	15.97	23.03
Anura	extinct	15.97	23.03
Anura	extinct	15.97	20.44
Palaeobatrachidae	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Rana	extinct	2.588	5.333
Tyrrellbatrachus_brinkmani	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Tyrrellbatrachus_brinkmani	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Eopelobates	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Discoglossidae	extinct	11.608	15.97
Ranidae	extinct	11.608	15.97
Anura	extinct	145	157.3
Ranidae	extinct	2.588	3.6
Anura	extinct	2.588	3.6
Ranidae	extinct	2.588	3.6
Anura	extinct	2.588	3.6
Anura	extinct	66	70.6
Anura	extinct	66	70.6
Beelzebufo_ampinga	extinct	66	72.1
Eodiscoglossus	extinct	66	72.1
Paradiscoglossus	extinct	66	72.1
Hungarobatrachus_szukacsi	extinct	83.6	86.3
Ranidae	extinct	83.6	89.3
Pachycentrata_taqueti	extinct	83.6	89.3
Pipidae	extinct	83.6	89.3
Anura	extinct	70.6	83.5
Anura	extinct	0.126	0.781
Scotiophryne	extinct	66	70.6
Eopelobates	extinct	66	70.6
Scotiophryne	extinct	66	70.6
Anura	extinct	66	70.6
Rana	extinct	0.0117	2.588
Rana	extinct	0.0117	2.588
Anura	extinct	66	70.6
Anura	extinct	89.3	99.6
Bufo	extinct	66	83.5
Pipidae	extinct	66	83.5
Leptodactylidae	extinct	66	83.5
Anura	extinct	66	83.5
Discoglossidae	extinct	33.9	38
Pelobatidae	extinct	33.9	38
Calyptocephalella_canqueli	extinct	21	29
Eupsophus	extinct	21	29
Neoprocoela_edentatus	extinct	21	29
Rana	extinct	0.126	0.781
Bufo_viridis	extant	0.126	0.781
Anura	extinct	0.126	0.781
Rana	extinct	0.126	0.781
